,Link,Name
1,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=987&menuentry=soorten,Biston strataria
0,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=988&menuentry=soorten,Biston betularia
2,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=648&menuentry=soorten,Bittacus italicus
3,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=536&menuentry=soorten,Blaps gigas
4,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=245&menuentry=soorten,Blatta orientalis
5,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=25&menuentry=groepen,Orde Blattaria
6,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=246&menuentry=soorten,Blattella germanica
7,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=96&menuentry=groepen,Familie Blephariceridae
8,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1137&menuentry=soorten,Boloria eunomia
9,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1136&menuentry=soorten,Boloria selene
10,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=896&menuentry=soorten,Bombus lapidarius
11,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=895&menuentry=soorten,Bombus pascuorum
12,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=898&menuentry=soorten,Bombus pratorum
13,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=900&menuentry=soorten,Bombus rupestris
14,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=899&menuentry=soorten,Bombus sylvarum
15,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=897&menuentry=soorten,Bombus terrestris
16,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=901&menuentry=soorten,Bombus vestalis
17,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=112&menuentry=groepen,Familie Bombyliidae
18,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=691&menuentry=soorten,Bombylius ater
19,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=690&menuentry=soorten,Bombylius discolor
20,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=689&menuentry=soorten,Bombylius major
21,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=646&menuentry=soorten,Boreus westwoodi
22,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=470&menuentry=soorten,Brachinus crepitans
23,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=200&menuentry=soorten,Brachyptera seticornis
24,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=221&menuentry=soorten,Brachytron pratense
25,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=739&menuentry=soorten,Braula coeca
26,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1119&menuentry=soorten,Brintesia circe
27,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=460&menuentry=soorten,Broscus cephalotes
28,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=310&menuentry=soorten,Bryodema tuberculata
29,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=74&menuentry=groepen,Familie Buprestidae
30,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=518&menuentry=soorten,Buprestis octoguttata
31,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=400&menuentry=soorten,Bursinia soort
32,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=641&menuentry=soorten,Byctiscus betulae
33,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=37&menuentry=groepen,Suborde Caelifera
34,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=744&menuentry=soorten,Caliroa annulipes
35,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1053&menuentry=soorten,Callimorpha dominula
36,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=732&menuentry=soorten,Calliphora vicina
37,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=293&menuentry=soorten,Calliptamus italicus
38,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=997&menuentry=soorten,Callistege mi
39,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=468&menuentry=soorten,Callistus lunatus
40,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1046&menuentry=soorten,Calliteara pudibunda
41,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1086&menuentry=soorten,Callophrys rubi
42,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=351&menuentry=soorten,Calocoris norvegicus
43,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=352&menuentry=soorten,Calocoris roseomaculatus
44,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=15&menuentry=groepen,Familie Calopterygidae
45,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=203&menuentry=soorten,Calopteryx haemorrhoidalis
46,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=202&menuentry=soorten,Calopteryx splendens
47,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=201&menuentry=soorten,Calopteryx virgo
48,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=449&menuentry=soorten,Calosoma auropunctatum
49,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=448&menuentry=soorten,Calosoma sycophanta
50,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=972&menuentry=soorten,Calospilos sylvata
51,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=936&menuentry=soorten,Cameraria ochridella
52,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=174&menuentry=soorten,Campodea soort
53,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=801&menuentry=soorten,Camponotus ligniperda
54,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=804&menuentry=soorten,Camposcolia ciliata
55,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=951&menuentry=soorten,Canephora hirsuta
56,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=503&menuentry=soorten,Cantharis fusca
57,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=385&menuentry=soorten,Canthophorus dubius
58,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=519&menuentry=soorten,Capnodes soort
59,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=68&menuentry=groepen,Familie Carabidae
60,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=452&menuentry=soorten,Carabus auratus
61,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=457&menuentry=soorten,Carabus clathratus
62,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=451&menuentry=soorten,Carabus coriaceus
63,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=458&menuentry=soorten,Carabus granulatus
64,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=456&menuentry=soorten,Carabus intricatus
65,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=454&menuentry=soorten,Carabus irregularis
66,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=455&menuentry=soorten,Carabus nemoralis
67,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=453&menuentry=soorten,Carabus nitens
68,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=450&menuentry=soorten,Carabus violaceus
69,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1073&menuentry=soorten,Carcharodus alceae
70,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1072&menuentry=soorten,Carterocephalus palaemon
71,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=618&menuentry=soorten,Cassida rubiginosa
72,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=939&menuentry=soorten,Cataclysta lemnata
73,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=38&menuentry=groepen,Familie Catantopidae
74,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=996&menuentry=soorten,Catocala nupta
75,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=105&menuentry=groepen,Familie Cecidomyiidae
76,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1091&menuentry=soorten,Celastrina argiolus
77,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=818&menuentry=soorten,Celonites abbreviatus
78,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=398&menuentry=soorten,Centrotus cornutus
79,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=756&menuentry=soorten,Cephus pygmeus
80,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=80&menuentry=groepen,Familie Cerambycidae
81,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=579&menuentry=soorten,Cerambyx scopolii
82,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=647&menuentry=soorten,Cerarophyllus soort
83,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=101&menuentry=groepen,Familie Ceratopogonidae
84,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=837&menuentry=soorten,Cerceris arenaria
85,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=838&menuentry=soorten,Cerceris rybyensis
86,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=214&menuentry=soorten,Cercion lindenii
87,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=402&menuentry=soorten,Cercopis sanguinolenta
88,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=401&menuentry=soorten,Cercopis vulnerata
89,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=826&menuentry=soorten,Ceropales maculata
90,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1012&menuentry=soorten,Cerura vinula
91,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=571&menuentry=soorten,Cetonia aurata
92,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=906&menuentry=soorten,Chaetopteryx villosa
93,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=514&menuentry=soorten,Chalcophora mariana
94,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=960&menuentry=soorten,Chamaesphecia empiformis
95,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=99&menuentry=groepen,Familie Chaoboridae
96,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=663&menuentry=soorten,Chaoborus soort
97,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1132&menuentry=soorten,Charaxes jasius
98,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1117&menuentry=soorten,Chazara briseis
99,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=252&menuentry=soorten,Chelidurella acanthopygia
100,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=655&menuentry=soorten,Chionea belgica
101,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=102&menuentry=groepen,Familie Chironomidae
102,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=667&menuentry=soorten,Chironomus soort
103,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=680&menuentry=soorten,Chloromyia formosa
104,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=199&menuentry=soorten,Chloroperla tripunctata
105,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=636&menuentry=soorten,Chlorophanus viridis
106,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=597&menuentry=soorten,Chlorophorus herbsti
107,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=596&menuentry=soorten,Chlorophorus varius
108,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=365&menuentry=soorten,Chorosoma schillingi
109,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=323&menuentry=soorten,Chorthippus albomarginatus
110,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=324&menuentry=soorten,Chorthippus apricarius
111,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=321&menuentry=soorten,Chorthippus biguttulus
112,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=320&menuentry=soorten,Chorthippus brunneus
113,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=322&menuentry=soorten,Chorthippus parallelus
114,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=325&menuentry=soorten,Chorthippus pullus
115,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=130&menuentry=groepen,Familie Chrysididae
116,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=781&menuentry=soorten,Chrysis cuprea
117,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=779&menuentry=soorten,Chrysis trimaculata
118,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=780&menuentry=soorten,Chrysis viridula
