LINK,NAME
6564,Abies
2201,Abies alba
2202,Abies concolor
2203,Abies grandis
8091,Abies koreana
2204,Abies nordmanniana
2205,Abies pinsapo
2206,Abies procera
5000,Abies veitchii
6626,Abutilon
1650,Abutilon theophrasti
8786,Acaena
8092,Acaena microphylla
8460,Acaena novae-zelandiae
8461,Acaena ovalifolia
8026,Acalypha
8027,Acalypha australis
9936,Acalypha virginica
8787,Acanthus
8093,Acanthus hungaricus
8094,Acanthus mollis
6001,Acer
1,Acer campestre
10537,Acer capillipes
8549,Acer cappadocicum
8550,Acer cappadocicum 'Rubrum'
5001,Acer negundo
8532,Acer palmatum
2077,Acer pensylvanicum
1850,Acer platanoides
2,Acer pseudoplatanus
9943,Acer rubrum
8095,Acer rufinerve
5320,Acer saccharinum
5966,Acer saccharum
6840,Acer tataricum
8481,Acer tataricum subsp. ginnala
8533,Acer x freemanii
6002,Aceras
6003,Achillea
5321,Achillea filipendulina
9944,Achillea micrantha
4,Achillea millefolium
8096,Achillea nobilis
5,Achillea ptarmica
9410,Achillea setacea
8968,Achillea umbellata
9945,Achillea virescens
8667,Acicarpha
8969,Acicarpha tribuloides
9946,Acmella decumbens
9947,Acmispon americanus
6004,Aconitum
10607,Aconitum carmichaelii
5378,Aconitum napellus
6,Aconitum vulparia
5520,Aconitum x stoerkianum
6005,Acorus
7,Acorus calamus
6006,Actaea
8,Actaea spicata
8788,Actinidia
5519,Actinidia deliciosa
9536,Adenocarpus
9537,Adenocarpus complicatus
8789,Adenostyles
8663,Adenostyles alpina
6638,Adiantum
10288,Adiantum aleuticum
5002,Adiantum capillus-veneris
8097,Adiantum pedatum
5349,Adiantum raddianum
10627,Adiantum venustum
6007,Adonis
1628,Adonis aestivalis
5003,Adonis annua
5004,Adonis flammea
9,Adonis vernalis
6008,Adoxa
10,Adoxa moschatellina
8668,Aegilops
9948,Aegilops caudata
8970,Aegilops cylindrica
9949,Aegilops neglecta
9950,Aegilops speltoides
8971,Aegilops triuncialis
9952,Aegilops ventricosa
6009,Aegopodium
11,Aegopodium podagraria
6627,Aesculus
8098,Aesculus flava
1851,Aesculus hippocastanum
8099,Aesculus parviflora
8583,Aesculus pavia
5005,Aesculus x carnea
8669,Aethionema
8972,Aethionema arabicum
6010,Aethusa
12,Aethusa cynapium
5642,Agastache
2044,Agastache aurantiaca
6841,Agastache foeniculum
5621,Agastache rugosa
10571,Agastache urticifolia
8570,Ageratum
8577,Ageratum houstonianum
9512,Agoseris
9513,Agoseris grandiflora
6011,Agrimonia
13,Agrimonia eupatoria
14,Agrimonia procera
8566,Agropogon (x)
8518,Agropogon lutosus (x)
8028,Agropyron
8029,Agropyron cristatum
6012,Agrostemma
5477,Agrostemma brachyloba
15,Agrostemma githago
6013,Agrostis
9954,Agrostis alpina
9955,Agrostis avenacea
1544,Agrostis canina
16,Agrostis canina / vinealis
19,Agrostis capillaris
6842,Agrostis castellana
17,Agrostis gigantea
5380,Agrostis hyemalis
9956,Agrostis lachnantha
9957,Agrostis nebulosa
5381,Agrostis scabra
18,Agrostis stolonifera
5200,Agrostis stolonifera / gigantea
1545,Agrostis vinealis
2431,Agrostis x fouilladeana
6637,Ailanthus
5007,Ailanthus altissima
6014,Aira
20,Aira caryophyllea
8973,Aira elegantissima
21,Aira praecox
6015,Ajuga
22,Ajuga chamaepitys
23,Ajuga genevensis
2422,Ajuga pyramidalis
24,Ajuga reptans
8081,Ajuga reptans 'Atropurpurea'
8790,Akebia
8100,Akebia quinata
6719,Alcea
5247,Alcea rosea
8482,Alcea rosea subsp. ficifolia
6016,Alchemilla
1452,Alchemilla acutiloba
25,Alchemilla acutiloba/glaucescens/vulgaris
8101,Alchemilla alpina
8636,Alchemilla conjuncta
1453,Alchemilla filicaulis
1454,Alchemilla glabra
5570,Alchemilla glaucescens
1647,Alchemilla micans
1648,Alchemilla mollis
1455,Alchemilla monticola
1649,Alchemilla subcrenata
8543,Alchemilla vetteri
1456,Alchemilla xanthochlora
8791,Aldrovanda
5538,Aldrovanda vesiculosa
6017,Alisma
26,Alisma gramineum
27,Alisma lanceolatum
2207,Alisma lanceolatum / plantago-aquatica
28,Alisma plantago-aquatica
8637,Alisma subcordatum
9958,Alisma x bjoerkqvistii
9959,Alisma x rhicnocarpum
10493,Alkekengi
5109,Alkekengi officinarum
6018,Alliaria
29,Alliaria petiolata
6019,Allium
5008,Allium ampeloprasum
8103,Allium atropurpureum
30,Allium carinatum
2369,Allium cepa
8104,Allium cristophii
8102,Allium hollandicum
9502,Allium macleanii
8105,Allium moly
8974,Allium neapolitanum
31,Allium oleraceum
2208,Allium oleraceum / vineale
1546,Allium paradoxum
8106,Allium pendulinum
10409,Allium ramosum
8107,Allium roseum
5553,Allium rotundum
32,Allium schoenoprasum
33,Allium scorodoprasum
8437,Allium siculum
8975,Allium siculum subsp. dioscoridis
5552,Allium sphaerocephalon
8976,Allium stipitatum
5567,Allium subhirsutum
10425,Allium trifoliatum
5009,Allium triquetrum
5619,Allium tuberosum
34,Allium ursinum
35,Allium vineale
5010,Allium zebdanense
6020,Alnus
5011,Alnus cordata
36,Alnus glutinosa
37,Alnus incana
8445,Alnus incana 'Laciniata'
8108,Alnus rubra
5310,Alnus x pubescens
8109,Alnus x spaethii
8670,Alonsoa
8977,Alonsoa meridionalis
6021,Alopecurus
38,Alopecurus aequalis
5197,Alopecurus aequalis / geniculatus
39,Alopecurus bulbosus
40,Alopecurus geniculatus
41,Alopecurus myosuroides
42,Alopecurus pratensis
9961,Alopecurus utriculatus
1551,Alopecurus x brachystylus
1552,Alopecurus x plettkei
8671,Alternanthera
8978,Alternanthera bettzickiana
8979,Alternanthera caracasana
2089,Alternanthera philoxeroides
8980,Alternanthera pungens
8981,Alternanthera sessilis
6022,Althaea
5555,Althaea cannabina
43,Althaea officinalis
6023,Alyssum
44,Alyssum alyssoides
9962,Alyssum argenteum
9963,Alyssum desertorum
8110,Alyssum montanum
8982,Alyssum simplex
9964,Alyssum strigosum
6024,Amaranthus
1651,Amaranthus albus
1758,Amaranthus blitoides
46,Amaranthus blitum
10455,Amaranthus blitum subsp. blitum
1975,Amaranthus blitum subsp. emarginatus
5013,Amaranthus caudatus
9965,Amaranthus crispus
8484,Amaranthus cruentus
5014,Amaranthus deflexus
9966,Amaranthus dinteri
8983,Amaranthus dubius
45,Amaranthus graecizans
1652,Amaranthus hybridus
5311,Amaranthus hybridus subsp. bouchonii
5318,Amaranthus hybridus subsp. hybridus
8984,Amaranthus hybridus subsp. quitensis
5572,Amaranthus hypochondriacus
1653,Amaranthus palmeri
47,Amaranthus retroflexus
8985,Amaranthus spinosus
5015,Amaranthus standleyanus
8986,Amaranthus tamariscinus
8987,Amaranthus thunbergii
8988,Amaranthus tricolor
5383,Amaranthus tuberculatus
8568,Amaranthus viridis
8989,Amaranthus watsonii
8990,Amaranthus x ozanonii
6025,Ambrosia
48,Ambrosia artemisiifolia
9967,Ambrosia maritima
1654,Ambrosia psilostachya
1655,Ambrosia trifida
6026,Amelanchier
1852,Amelanchier lamarckii
9968,Amelanchier ovalis
8991,Amelanchier spicata
9969,Amethystea caerulea
6628,Ammi
1656,Ammi majus
1657,Ammi visnaga
8792,Ammobium
8111,Ammobium alatum
9970,Ammochloa pungens
6028,Ammophila
8793,Amorpha
8112,Amorpha fruticosa
6567,Amsinckia
8992,Amsinckia lycopsoides
9461,Amsinckia menziesii var. intermedia
1658,Amsinckia micrantha
8993,Amsinckia tessellata
6029,Anacamptis
882,Anacamptis coriophora
889,Anacamptis morio
51,Anacamptis pyramidalis
8672,Anacyclus
9971,Anacyclus clavatus
9973,Anacyclus pyrethrum
8994,Anacyclus radiatus
9974,Anacyclus valentinus
6030,Anagallis
2308,Anagallis arvensis
52,Anagallis arvensis subsp. arvensis
1659,Anagallis arvensis subsp. foemina
8995,Anagallis monelli
53,Anagallis tenella
6816,Anaphalis
5322,Anaphalis margaritacea
6031,Anchusa
779,Anchusa arvensis
8113,Anchusa azurea
8996,Anchusa capensis
1660,Anchusa ochroleuca
54,Anchusa officinalis
8997,Anchusa procera
9975,Anchusa undulata
9976,Anchusa undulata subsp. hybrida
5226,Anchusa x baumgartenii
6032,Andromeda
55,Andromeda polifolia
10568,Andropogon gerardii
6033,Anemone
1620,Anemone apennina
2296,Anemone blanda
8509,Anemone coronaria
2297,Anemone hortensis
8114,Anemone hupehensis
56,Anemone nemorosa
58,Anemone ranunculoides
10536,Anemone tomentosa
10535,Anemone vitifolia
8036,Anemone x hybrida
6639,Anethum
5016,Anethum graveolens
6034,Angelica
59,Angelica archangelica
60,Angelica sylvestris
6729,Anisantha
5313,Anisantha diandra
5350,Anisantha madritensis
9977,Anisantha madritensis x sterilis
165,Anisantha sterilis
166,Anisantha tectorum
9422,Anisodontea
9421,Anisodontea hypomandarum
6640,Anoda
5017,Anoda cristata
6035,Antennaria
61,Antennaria dioica
5231,Anthemicaria hampeana (x)
6036,Anthemis
9978,Anthemis altissima
62,Anthemis arvensis
8115,Anthemis austriaca
63,Anthemis cotula
8998,Anthemis ruthenica
64,Anthemis tinctoria
6037,Anthericum
65,Anthericum liliago
8999,Anthericum ramosum
6038,Anthoxanthum
67,Anthoxanthum aristatum
626,Anthoxanthum nitens
66,Anthoxanthum odoratum
6039,Anthriscus
68,Anthriscus caucalis
69,Anthriscus cerefolium
70,Anthriscus sylvestris
6040,Anthyllis
71,Anthyllis vulneraria
6041,Antirrhinum
5018,Antirrhinum majus
6042,Apera
9000,Apera intermedia
2423,Apera interrupta
73,Apera spica-venti
6043,Aphanes
74,Aphanes arvensis
75,Aphanes australis
8673,Apios
9001,Apios americana
6044,Apium
76,Apium graveolens
8794,Aponogeton
5988,Aponogeton distachyos
6045,Aquilegia
2066,Aquilegia chrysantha
80,Aquilegia vulgaris
5636,Aquilegia vulgaris cv.
6046,Arabidopsis
206,Arabidopsis arenosa
9002,Arabidopsis halleri
81,Arabidopsis thaliana
6047,Arabis
5351,Arabis alpina subsp. caucasica
8116,Arabis collina
2333,Arabis hirsuta
82,Arabis hirsuta subsp. hirsuta
1457,Arabis hirsuta subsp. planisiliqua
1458,Arabis hirsuta subsp. sagittata
8117,Arabis procurrens
8674,Arachis
9003,Arachis hypogaea
8795,Aralia
6845,Aralia elata
8118,Aralia spinosa
6048,Arctium
83,Arctium lappa
2457,Arctium minus
85,Arctium nemorosum
87,Arctium tomentosum
2470,Arctium x ambiguum
2471,Arctium x mixtum
2472,Arctium x nothum
6049,Arctostaphylos
88,Arctostaphylos uva-ursi
8675,Arctotheca
9004,Arctotheca calendula
8676,Arctotis
9005,Arctotis arctotoides
6050,Arenaria
1459,Arenaria leptoclados
2334,Arenaria leptoclados / serpyllifolia
8119,Arenaria montana
89,Arenaria serpyllifolia
1640,Arenaria serpyllifolia subsp. lloydii
8677,Argemone
9006,Argemone mexicana
9007,Argemone ochroleuca
8796,Argyranthemum
8120,Argyranthemum frutescens
6051,Aristolochia
90,Aristolochia clematitis
9508,Aristolochia macrophylla
9509,Aristolochia tomentosa
6052,Armeria
91,Armeria maritima
9462,Armeria maritima subsp. elongata
9008,Armeria pseudarmeria
6053,Armoracia
92,Armoracia rusticana
6054,Arnica
93,Arnica montana
6055,Arnoseris
94,Arnoseris minima
6056,Aronia
6846,Aronia arbutifolia
6847,Aronia melanocarpa
1965,Aronia x prunifolia
6057,Arrhenatherum
96,Arrhenatherum elatius
1608,Arrhenatherum elatius subsp. bulbosum
2391,Arrhenatherum elatius subsp. elatius
6058,Artemisia
9980,Artemisia abrotanum
97,Artemisia absinthium
5545,Artemisia annua
1663,Artemisia biennis
2392,Artemisia campestris
98,Artemisia campestris subsp. campestris
99,Artemisia campestris subsp. maritima
5019,Artemisia dracunculus
9981,Artemisia gmelinii
9982,Artemisia longifolia
5566,Artemisia ludoviciana
100,Artemisia maritima
5664,Artemisia princeps
9983,Artemisia salsoloides
8121,Artemisia scoparia
6936,Artemisia selengensis
9984,Artemisia sieversiana
9985,Artemisia stelleriana
5618,Artemisia tournefortiana
5478,Artemisia verlotiorum
101,Artemisia vulgaris
6059,Arum
10296,Arum concinnatum
102,Arum italicum
8122,Arum italicum x maculatum
103,Arum maculatum
9009,Arum orientale
6641,Aruncus
5020,Aruncus dioicus
6642,Arundinaria
8797,Arundo
8123,Arundo donax
8798,Asarina
8124,Asarina procumbens
6643,Asarum
5022,Asarum europaeum
6817,Asclepias
5323,Asclepias syriaca
8125,Asclepias tuberosa
6060,Asparagus
9010,Asparagus aethiopicus
1904,Asparagus officinalis
104,Asparagus officinalis subsp. officinalis
105,Asparagus officinalis subsp. prostratus
6630,Asperugo
106,Asperugo procumbens
6061,Asperula
107,Asperula arvensis
108,Asperula cynanchica
9011,Asperula orientalis
8468,Asperula taurina
9676,Asphodelus
9677,Asphodelus tenuifolius
6849,Aspidium
6062,Asplenium
111,Asplenium adiantum-nigrum
301,Asplenium ceterach
2437,Asplenium fontanum
2438,Asplenium foreziense
9491,Asplenium obovatum
9492,Asplenium obovatum subsp. lanceolatum
112,Asplenium ruta-muraria
934,Asplenium scolopendrium
2473,Asplenium septentrionale
113,Asplenium trichomanes
9474,Asplenium trichomanes subsp. pachyrachis
5169,Asplenium trichomanes subsp. quadrivalens
5170,Asplenium trichomanes subsp. trichomanes
1609,Asplenium viride
9463,Asplenium x perardii
6063,Aster
9521,Aster ageratoides
8799,Astilbe
8127,Astilbe japonica
8128,Astilbe rubra
6064,Astragalus
9465,Astragalus boeticus
2474,Astragalus cicer
118,Astragalus glycyphyllos
9988,Astragalus hamosus
9989,Astragalus onobrychis
9012,Astragalus pelecinus
8800,Astrantia
8129,Astrantia major
6065,Athyrium
119,Athyrium filix-femina
6066,Atriplex
120,Atriplex glabriuscula
1664,Atriplex hortensis
124,Atriplex laciniata
122,Atriplex littoralis
2411,Atriplex longipes
6853,Atriplex micrantha
9013,Atriplex muelleri
9014,Atriplex oblongifolia
123,Atriplex patula
595,Atriplex pedunculata
6240,Atriplex pedunculata / portulacoides
596,Atriplex portulacoides
2394,Atriplex prostrata
121,Atriplex prostrata / longipes
9015,Atriplex prostrata subsp. calotheca
9016,Atriplex rosea
8130,Atriplex sagittata
9017,Atriplex suberecta
8131,Atriplex tatarica
5480,Atriplex x gustafssoniana
6067,Atropa
125,Atropa bella-donna
6644,Aubrieta
5026,Aubrieta deltoidea
8801,Aucuba
8072,Aucuba japonica
8678,Aurinia
5382,Aurinia saxatilis
6068,Avena
9018,Avena barbata
126,Avena fatua
1800,Avena sativa
5028,Avena sterilis
5027,Avena strigosa
10494,Avenella
398,Avenella flexuosa
6645,Avenula
604,Avenula pubescens
6646,Axyris
5029,Axyris amaranthoides
6069,Azolla
127,Azolla cristata
128,Azolla filiculoides
6822,Baccharis
5462,Baccharis halimifolia
5521,Baldellia ranunculoides
429,Baldellia ranunculoides subsp. ranunculoides
430,Baldellia ranunculoides subsp. repens
6070,Ballota
5030,Ballota nigra
129,Ballota nigra subsp. meridionalis
5162,Ballota nigra subsp. nigra
8021,Bambusoideae sp.
6071,Barbarea
130,Barbarea intermedia
9019,Barbarea intermedia x vulgaris
131,Barbarea stricta
132,Barbarea verna
133,Barbarea vulgaris
9991,Bartsia trixago
6072,Bassia
134,Bassia hirsuta
1697,Bassia scoparia
8802,Beckmannia
9020,Beckmannia eruciformis
6855,Beckmannia syzigachne
8803,Bellevalia
9021,Bellevalia ciliata
8132,Bellevalia romana
6073,Bellis
135,Bellis perennis
6074,Berberis
5385,Berberis aggregata
2101,Berberis aquifolium
8544,Berberis darwinii
8578,Berberis empetrifolia
5556,Berberis gagnepainii
8289,Berberis japonica
8133,Berberis julianae
10534,Berberis pinnata
10533,Berberis repens
5212,Berberis thunbergii
136,Berberis vulgaris
9022,Berberis wilsoniae
10490,Berberis x decumbens
1986,Berberis x ottawensis
9466,Berberis x stenophylla
10491,Berberis x wagneri
8068,Bergenia
8077,Bergenia cordifolia
8134,Bergenia crassifolia
1980,Bergenia x schmidtii
6075,Berteroa
137,Berteroa incana
6647,Berula
1215,Berula erecta
6076,Beta
9023,Beta macrocarpa
9024,Beta trigyna
2335,Beta vulgaris
138,Beta vulgaris subsp. maritima
1801,Beta vulgaris subsp. vulgaris
10495,Betonica
1244,Betonica officinalis
6077,Betula
8135,Betula costata
8136,Betula nigra
140,Betula pendula
5205,Betula pendula / pubescens
9643,Betula populifolia
139,Betula pubescens
5665,Betula pubescens subsp. carpathica
5589,Betula x aurata
6078,Bidens
8579,Bidens bipinnata
9025,Bidens biternata
141,Bidens cernua
142,Bidens connata
5208,Bidens connata / tripartita
8137,Bidens ferulifolia
143,Bidens frondosa
8138,Bidens pilosa
9026,Bidens polylepis
2458,Bidens radiata
9027,Bidens subalternans
9028,Bidens trichosperma
144,Bidens tripartita
8139,Bidens triplinervia
6648,Bifora
5031,Bifora radians
9992,Bifora testiculata
8679,Biscutella
9029,Biscutella auriculata
8954,Biscutella didyma
9030,Biscutella didyma subsp. apula
6079,Blackstonia
2336,Blackstonia perfoliata
1855,Blackstonia perfoliata subsp. perfoliata
145,Blackstonia perfoliata subsp. serotina
6080,Blechnum
10444,Blitum
307,Blitum bonus-henricus
308,Blitum capitatum
9248,Blitum nuttallianum
311,Blitum virgatum
8680,Blumenbachia
9031,Blumenbachia insignis
6730,Blysmus
1157,Blysmus compressus
1158,Blysmus rufus
6752,Bolboschoenus
8453,Bolboschoenus laticarpus
2048,Bolboschoenus maritimus
1156,Bolboschoenus maritimus/laticarpus
2083,Bolboschoenus planiculmis
8681,Boltonia
9032,Boltonia asteroides
10302,Bombycilaena erecta
6081,Borago
147,Borago officinalis
9514,Borago pygmaea
6082,Botrychium
148,Botrychium lunaria
149,Botrychium matricariifolium
8571,Brachiaria
9033,Brachiaria eruciformis
8580,Brachiaria platyphylla
6083,Brachypodium
9034,Brachypodium distachyon
150,Brachypodium pinnatum
151,Brachypodium sylvaticum
8426,Brachypodium x cugnacii
8682,Brachyscome
9035,Brachyscome iberidifolia
6084,Brassica
9036,Brassica carinata
9037,Brassica elongata
1665,Brassica juncea
1802,Brassica napus
5375,Brassica napus / rapa
152,Brassica nigra
1803,Brassica oleracea
5481,Brassica oleracea subsp. oleracea
5522,Brassica oleracea-cultivars
1804,Brassica rapa
